GID	HCT116_R1	HCT116_R2	HCT116_R3	NCM460_R1	NCM460_R2	NCM460_R3	Length
ENSG00000005073	485	1126	240	27	5	150	2307
ENSG00000005075	1615	1604	1542	1067	1199	638	962
ENSG00000005100	2872	4370	3958	2778	2594	5396	5872
ENSG00000005102	47	71	0	0	0	20	2707
ENSG00000005108	7	8	7	0	0	0	10923
ENSG00000005156	1779	2658	1413	1581	2058	1877	8240
ENSG00000005175	2074	2303	1415	2248	1938	3206	3343
ENSG00000005187	388	306	382	66	8	12	5095
ENSG00000005189	544	426	297	226	133	590	4111
ENSG00000005194	3467	4300	2257	3141	3708	4655	3509
ENSG00000005206	2098	2282	4942	2138	1965	1278	7096
ENSG00000005238	298	114	573	252	141	269	6409
ENSG00000005243	7	9	3	5	4	25	1847
ENSG00000005249	1221	1233	1311	0	0	244	4318
ENSG00000005302	1014	1369	636	1090	917	811	6494
ENSG00000005339	2419	4302	5562	6283	5487	5018	15068
ENSG00000005379	0	0	11	39	13	0	11382
ENSG00000005381	0	0	0	0	0	21	3622
ENSG00000005421	0	0	12	0	0	0	2988
ENSG00000005436	1396	1293	952	893	959	1099	5465
ENSG00000005448	1865	1455	1266	601	485	1267	2860
ENSG00000005469	364	460	0	555	373	1717	4979
ENSG00000005471	229	80	0	11	0	0	7494
ENSG00000005483	1064	1613	2215	1967	1166	2451	9227
ENSG00000005486	1952	2226	2587	1941	1296	774	2441
ENSG00000005513	883	898	674	23	14	0	4432
ENSG00000005700	1477	1749	5672	4779	3182	2907	8722
ENSG00000005801	1148	1138	1657	2120	1400	1005	5705
ENSG00000005810	1676	2014	4189	2167	1992	4071	15943
ENSG00000005812	1554	1858	1400	1771	1121	1800	4651
ENSG00000005844	11	11	6	6	0	5	6472
ENSG00000005882	790	760	1288	506	152	567	5481
ENSG00000005884	373	262	23938	8681	6104	33600	9802
ENSG00000005889	1210	1741	1181	2660	2256	1119	9037
ENSG00000005893	5806	5053	3080	8266	4996	7025	5617
ENSG00000005955	2443	2200	2881	4104	3073	3938	9729
ENSG00000005961	842	433	516	2	0	71	5551
ENSG00000005981	4	0	12	0	0	0	4605
ENSG00000006007	2929	3836	2972	3219	2034	3970	4412
ENSG00000006015	794	791	2256	812	831	710	3370
ENSG00000006016	4460	3530	2387	3	1	2	3018
ENSG00000006025	480	118	1491	544	554	177	6572
ENSG00000006042	2954	1931	1003	3145	2045	34	5187
ENSG00000006047	13	4	117	0	0	38	4618
ENSG00000006059	0	0	4	0	0	0	1287
ENSG00000006062	229	305	714	329	350	1519	5132
ENSG00000006071	336	67	0	0	0	6	6835
ENSG00000006074	0	0	0	0	0	0	1397
ENSG00000006075	0	0	0	0	2	0	1494
ENSG00000006114	1424	1603	1778	2649	1917	2618	14277
ENSG00000006116	11	0	0	0	0	0	3088
ENSG00000006118	4164	3698	9809	3229	2853	1114	7271
ENSG00000006125	11950	15150	15291	13108	10498	22920	7797
ENSG00000006128	0	0	0	0	0	0	1888
ENSG00000006194	1229	1431	1410	1670	1431	903	9329
ENSG00000006210	43	36	0	5	0	0	5983
ENSG00000006282	960	383	3864	4650	1956	2360	5237
ENSG00000006283	411	276	640	19	0	0	9709
ENSG00000006327	792	432	2751	3336	8844	2410	1848
ENSG00000006377	137	287	1	0	0	161	3449
ENSG00000006432	765	611	1225	2034	1795	2713	12386
ENSG00000006451	2098	2244	1785	3284	2567	1788	3665
ENSG00000006453	1960	1902	2775	3118	2500	2050	4798
ENSG00000006459	1291	1258	1229	1419	195	456	9430
ENSG00000006468	18	21	1724	46	42	11	9686
ENSG00000006530	3332	3588	1446	1298	1137	1026	6547
ENSG00000006534	186	99	1789	964	139	542	6621
ENSG00000006555	0	0	204	0	0	512	6055
ENSG00000006576	1608	1923	1825	1458	1026	985	8631
ENSG00000006606	12	0	26	10	0	12	706
ENSG00000006607	2023	3645	2021	3393	1466	2168	14413
ENSG00000006611	625	344	1108	984	76	0	4187
ENSG00000006625	1587	1627	1499	3366	3282	3027	1905
ENSG00000006634	1730	2668	1562	2645	1992	2330	4583
ENSG00000006638	361	311	166	7	3	44	2793
ENSG00000006652	3365	2031	1236	1465	1466	3052	6481
ENSG00000006659	0	0	0	0	0	0	1079
ENSG00000006695	837	1020	1200	941	1267	997	3172
ENSG00000006704	1290	1393	1624	2000	1077	429	6498
ENSG00000006712	2632	3578	3045	4829	6449	1820	2668
ENSG00000006715	1729	2275	2820	2298	1400	2915	7801
ENSG00000006740	943	954	661	527	522	128	9281
ENSG00000006744	4439	7809	6252	4834	6611	5854	6345
ENSG00000006747	11	0	23	11	0	2	5048
ENSG00000006756	20	1	591	987	763	97	7030
ENSG00000006757	605	712	748	381	375	563	3441
ENSG00000006788	0	0	0	8	0	0	6347
ENSG00000006831	3969	4621	5554	4179	3799	6320	5878
ENSG00000006837	13	16	30	9	7	33	3681
ENSG00000007001	0	1	1	3	0	0	2957
ENSG00000007038	0	0	2	0	0	0	1984
ENSG00000007047	1841	2191	2587	2057	1442	688	6668
ENSG00000007062	22	5	1351	0	0	0	7465
ENSG00000007080	3968	4735	4988	1610	3272	2028	1660
ENSG00000007129	10	0	0	1	0	0	1926
ENSG00000007168	3171	4264	5130	5708	5145	8043	8127
ENSG00000007171	1008	426	22	154	12	0	4176
ENSG00000007174	0	0	11	0	0	0	16980
ENSG00000007202	5238	6553	6077	6695	5663	8250	9235
ENSG00000007216	0	0	0	11	0	0	3226
ENSG00000007237	504	374	922	7	0	43	10100
ENSG00000007255	447	361	478	570	269	81	933
ENSG00000007264	1407	1468	0	1	1	0	4138
ENSG00000007306	0	0	0	0	0	0	2649
ENSG00000007312	11	0	28	0	1	0	2080
ENSG00000007314	264	106	230	8	1	2	8247
ENSG00000007341	453	432	199	435	461	551	8111
ENSG00000007350	62	69	4	0	5	4	3650
ENSG00000007372	805	1599	194	25	9	36	14776
ENSG00000007376	2620	4210	3801	2315	5670	1022	2769
ENSG00000007384	1293	592	1152	2759	1726	767	5104
ENSG00000007392	1504	1620	1430	1824	2088	811	6176
ENSG00000007402	555	559	1459	14	3	4	6319
ENSG00000007516	1217	376	3331	27	7	36	6143
ENSG00000007520	1561	1896	1763	1594	2969	1045	1243
ENSG00000007541	2206	3720	1337	2364	2192	1245	6869
ENSG00000007545	855	967	1048	1128	933	622	8427
ENSG00000007866	720	582	1740	1593	1351	1392	3046
ENSG00000007908	8	0	0	4	0	0	4586
ENSG00000007923	1344	2726	2267	2474	2584	1964	5147
ENSG00000007933	8	0	4	0	0	0	3463
ENSG00000007944	506	598	702	1327	883	470	3033
ENSG00000007952	55	27	2	439	38	20	2529
ENSG00000007968	3326	3171	1274	641	1270	888	5457
ENSG00000008018	5291	7097	7677	6418	6809	4922	2256
ENSG00000008056	36	29	56	0	0	8	3203
ENSG00000008083	1221	2578	2194	1757	1065	3869	6490
ENSG00000008086	8	30	56	46	33	72	3576
ENSG00000008118	26	11	9	0	0	6	2676
ENSG00000008128	29	31	117	38	26	54	4707
ENSG00000008130	5028	4163	4694	5849	4505	3434	5637
ENSG00000008196	0	0	0	0	0	0	6149
ENSG00000008197	0	0	0	0	0	0	1856
ENSG00000008226	8	21	13	23	18	15	8338
ENSG00000008256	1872	1771	2041	2701	3286	4430	5805
ENSG00000008277	923	734	1092	27	0	298	12217
ENSG00000008282	1824	2604	3355	9174	7708	3796	2794
ENSG00000008283	550	481	4661	3666	4393	2445	5320
ENSG00000008294	4716	5585	5430	11089	3711	7620	11948
ENSG00000008300	2047	1929	1919	710	537	567	13888
ENSG00000008311	469	681	473	40	8	575	4591
ENSG00000008323	2	0	1273	1316	667	27	4260
ENSG00000008324	661	829	578	791	790	795	1301
ENSG00000008382	227	228	327	306	239	73	2049
ENSG00000008394	481	327	2367	1404	1692	0	6213
ENSG00000008405	1465	1497	776	1112	684	767	5062
ENSG00000008438	0	7	12	9	3	2	720
ENSG00000008441	2448	3865	2631	5170	4037	481	6302
ENSG00000008513	697	1108	1187	60	9	5447	8730
ENSG00000008516	77	39	129	8	10	8	4126
ENSG00000008517	688	33	39	815	1184	18	2924
ENSG00000008710	2778	4697	7236	2524	2302	2228	18532
ENSG00000008735	2775	2155	1426	38	24	7	6107
ENSG00000008838	6440	7824	4829	4326	5585	2889	6962
ENSG00000008853	406	428	866	1240	1276	1165	6580
ENSG00000008869	857	1697	1506	978	903	1697	8206
ENSG00000008952	3226	4571	3119	6174	5174	5055	7928
ENSG00000008988	15943	16643	26148	17842	20417	47994	2931
ENSG00000009307	32236	43498	21028	23094	22742	33237	5755
ENSG00000009335	6271	8684	6692	9721	7359	6422	9218
ENSG00000009413	965	1437	1832	3079	1287	2291	12417
ENSG00000009694	2387	3721	11	4	0	14	12896
ENSG00000009709	23	16	0	0	0	0	6313
ENSG00000009724	98	98	181	74	39	149	4251
ENSG00000009765	0	0	0	0	0	0	10362
ENSG00000009780	997	1021	425	1043	868	393	4034
ENSG00000009790	251	336	182	139	153	188	7753
ENSG00000009830	1220	2015	1876	1578	1281	1137	10012
ENSG00000009844	3668	4184	2895	3407	2380	2826	7194
ENSG00000009950	1823	833	6352	134	16	1	4815
ENSG00000009954	5579	7124	6910	7038	6766	3102	7053
ENSG00000010017	2654	2477	2644	3110	2567	2597	3480
ENSG00000010030	7	1	58	3	0	63	2369
ENSG00000010072	2231	2447	930	1706	1188	1093	5906
ENSG00000010165	2890	4038	2523	4914	6241	1783	3843
ENSG00000010219	364	388	315	111	63	358	5911
ENSG00000010244	5537	7994	6849	7745	8700	10256	15834
ENSG00000010256	8336	11413	9396	9515	9347	10330	3236
ENSG00000010270	1655	1616	1189	1324	1068	1369	4348
ENSG00000010278	2612	1326	7151	14330	12725	6335	3218
ENSG00000010282	1	0	2	0	0	0	2891
ENSG00000010292	7792	12723	13306	8172	5568	19820	6487
ENSG00000010295	1590	1712	14	2	24	36	5193
ENSG00000010310	260	80	1034	85	37	32	4736
ENSG00000010318	381	208	317	99	179	363	3367
ENSG00000010319	502	246	570	48	21	0	5011
ENSG00000010322	4290	4400	6142	3032	2552	2701	9161
ENSG00000010327	205	196	13	2	1	0	10588
ENSG00000010361	2227	1582	38	81	45	21	2951
ENSG00000010379	1	0	6	0	5	0	4241
ENSG00000010404	4569	2459	2753	82	12	3050	10496
ENSG00000010438	1	0	1007	821	631	0	1614
ENSG00000010539	971	831	448	976	1051	816	7498
ENSG00000010610	1	5	48	2	5	0	4583
ENSG00000010626	262	243	234	88	90	100	3054
ENSG00000010671	49	13	5	0	4	0	4227
ENSG00000010704	121	100	674	539	190	601	5675
ENSG00000010803	995	1459	1156	1434	1310	1197	4447
ENSG00000010810	3317	3582	768	16	0	242	7411
ENSG00000010818	513	742	866	63	63	2593	9774
ENSG00000010932	14	10	28	0	0	2	3574
ENSG00000011007	4324	4625	1920	3542	4907	4084	5391
ENSG00000011009	1938	2484	3378	5042	4354	2174	2196
ENSG00000011021	480	494	1243	745	438	1135	6884
ENSG00000011028	1508	695	2277	0	0	36	6860
ENSG00000011052	0	0	0	0	0	0	1241
ENSG00000011083	0	0	0	0	0	1	4391
ENSG00000011105	956	1028	1590	500	402	784	5714
ENSG00000011114	1533	1901	2576	2490	1801	4085	11333
ENSG00000011132	895	767	866	506	899	349	5556
ENSG00000011143	1115	962	1173	464	540	1004	4073
ENSG00000011198	426	783	473	785	855	961	3172
ENSG00000011201	0	0	0	0	0	404	7131
ENSG00000011243	2405	2541	4191	1836	1495	1889	5081
ENSG00000011258	1010	1175	2658	1072	265	956	7201
ENSG00000011260	1930	3886	3065	3167	3531	3849	2721
ENSG00000011275	3133	4189	3067	2719	2976	2953	7619
ENSG00000011295	2444	2243	3491	2150	1594	3250	5966
ENSG00000011304	20491	35499	26790	23273	22248	19336	6969
ENSG00000011332	1140	651	474	301	684	104	4800
ENSG00000011347	1242	1003	4350	595	427	328	5953
ENSG00000011376	2524	4204	1614	2385	3229	1890	5393
ENSG00000011405	2803	3022	5006	7730	4303	21036	9204
ENSG00000011422	501	270	1180	1855	2439	865	4457
ENSG00000011426	3863	6339	6453	8921	8943	34461	6012
ENSG00000011451	4019	5110	3183	2505	3463	2836	8155
ENSG00000011454	1754	2027	1684	1888	1048	4149	8181
ENSG00000011465	9	0	0	0	0	0	8083
ENSG00000011478	1316	1071	1044	1436	1311	509	2396
ENSG00000011485	4207	4888	4337	6684	9051	1920	7059
ENSG00000011523	1467	1240	1424	835	808	649	8623
ENSG00000011566	850	1159	1442	2548	1341	2504	6067
ENSG00000011590	0	3	10	157	94	0	2770
ENSG00000011600	0	1	0	0	1	0	907
ENSG00000011638	587	352	1221	969	597	456	2558
ENSG00000011677	0	10	0	0	0	551	4193
ENSG00000012048	4567	4296	1967	2030	2798	5058	8278
ENSG00000012061	1079	936	1936	1957	2293	881	5576
ENSG00000012124	9	11	119	444	387	41	5839
ENSG00000012171	382	156	2185	11994	3844	1329	5767
ENSG00000012174	2544	2378	1383	1367	1203	1200	8927
ENSG00000012211	1420	1193	1129	1106	926	439	3396
ENSG00000012223	0	0	1	0	0	0	4247
ENSG00000012232	2712	3331	5192	5273	5184	4158	13220
ENSG00000012504	0	0	0	0	0	4	3460
ENSG00000012660	4052	6030	4269	0	0	6646	4223
ENSG00000012779	250	46	379	103	20	110	3685
ENSG00000012817	0	0	56	0	0	1687	9463
ENSG00000012822	980	764	2054	2280	633	559	6296
ENSG00000012963	2609	2462	1492	2007	3545	2730	3694
ENSG00000012983	1718	1910	1777	2223	1559	5667	7620
ENSG00000013016	858	829	0	0	0	1053	4959
ENSG00000013275	4162	5249	4535	7449	14182	4633	2387
ENSG00000013288	1477	1100	2690	1769	1054	1662	8898
ENSG00000013293	1	0	0	0	0	0	10459
ENSG00000013297	0	0	0	10	7	0	6032
ENSG00000013306	8871	8791	11963	7965	9016	5629	3526
ENSG00000013364	303	219	4254	11208	4986	713	6136
ENSG00000013374	2255	2035	1963	3879	2143	2225	5411
ENSG00000013375	1620	1602	2048	1974	1593	1645	7331
ENSG00000013392	390	291	369	256	203	171	4686
ENSG00000013441	1237	950	1349	1040	1062	1964	5125
ENSG00000013503	1050	1703	578	846	1121	1340	4858
ENSG00000013523	2327	2305	1666	1956	1889	967	5347
ENSG00000013561	2317	1819	1394	1937	1966	1260	4834
ENSG00000013563	698	526	223	495	221	113	4130
ENSG00000013573	4929	4723	4490	1953	3678	3812	8374
ENSG00000013583	1263	1403	825	1307	1158	679	3442
ENSG00000013588	264	147	8459	11568	12753	17556	8440
ENSG00000013619	769	821	379	15	0	93	5958
ENSG00000013725	0	0	4	0	0	0	5995
ENSG00000013810	4331	6168	4460	5500	6202	5341	4682
ENSG00000014123	781	1486	1584	2234	2030	1562	4539
ENSG00000014138	3908	4385	952	2166	3379	1452	5726
ENSG00000014164	705	1706	1967	1666	2179	1651	3731
ENSG00000014216	3931	3779	12697	17569	15057	13094	7553
ENSG00000014257	26	40	47	231	9	14	4193
ENSG00000014641	6840	6033	6203	7742	4837	6193	4993
ENSG00000014824	3229	4055	3915	4694	2860	2556	7225
ENSG00000014914	379	149	663	590	183	453	4591
ENSG00000014919	2639	2968	4798	2355	2040	2990	4177
ENSG00000015133	708	813	1597	2701	2047	667	12426
ENSG00000015153	456	557	481	856	378	683	10840
ENSG00000015171	1128	1990	1925	2437	2181	1180	5300
ENSG00000015285	24	29	56	15	14	0	2381
ENSG00000015413	76	8	135	90	10	0	2712
ENSG00000015475	1336	1208	1469	1912	1381	2198	4418
ENSG00000015479	21893	25135	13286	19575	17341	18717	14669
ENSG00000015520	32	24	17	1	0	6	5252
ENSG00000015532	1240	1221	2843	1567	1817	1495	5472
ENSG00000015568	6	16	5	6	6	8	14175
ENSG00000015592	0	0	0	0	0	0	3294
ENSG00000015676	2239	3660	3185	3437	3306	2321	10113
ENSG00000016082	444	738	67	175	149	121	3216
ENSG00000016391	796	1294	1448	1204	1828	1	7758
ENSG00000016402	0	0	53	409	320	94	4673
ENSG00000016490	0	0	0	0	0	0	3340
ENSG00000016602	0	0	0	0	0	0	3649
ENSG00000016864	1957	1594	1474	1479	1525	1999	3783
ENSG00000017260	4051	3868	4202	9578	6809	6439	8533
ENSG00000017373	826	741	1315	203	78	99	11025
ENSG00000017427	5	1	2	364	160	0	8087
ENSG00000017483	6	4	1911	288	129	33	4016
ENSG00000017621	81	84	65	64	38	2	4948
ENSG00000017797	2095	3320	4773	6858	5749	5523	4979
ENSG00000018189	1106	1107	1095	1334	667	573	8070
ENSG00000018236	611	364	375	0	0	192	7492
ENSG00000018280	1	26	52	11	19	9	8676
ENSG00000018408	1242	952	2495	553	273	4391	8413
ENSG00000018510	3874	4743	4140	5778	5319	4381	8197
ENSG00000018607	0	1	0	0	0	0	1774
ENSG00000018610	2587	3341	1137	1910	1946	1364	2606
ENSG00000018625	0	4	0	1	0	0	6298
ENSG00000018699	1226	2134	916	589	800	2143	3185
ENSG00000018869	104	115	0	4	0	0	3152
ENSG00000019102	3	26	38	122	34	11	1432
ENSG00000019144	1381	1251	3198	609	266	1404	21988
ENSG00000019169	0	0	0	0	0	11	2079
ENSG00000019186	61	12	4848	0	0	328	3972
ENSG00000019485	223	234	606	534	602	229	5527
ENSG00000019505	96	45	456	1420	723	0	5424
ENSG00000019549	2491	1698	16	0	0	2794	2282
ENSG00000019582	11	8	32	4	5	0	3184
ENSG00000019991	15	4	1	217	16	0	8897
ENSG00000019995	2009	1823	2452	2375	1875	1609	5993
ENSG00000020129	3040	3683	2392	1332	1878	1673	4917
ENSG00000020181	1834	2452	1044	21	0	20	7061
ENSG00000020219	0	0	0	0	0	0	1674
ENSG00000020256	2085	2050	1010	1984	2203	2344	6997
ENSG00000020426	533	798	672	995	989	1378	3865
ENSG00000020577	694	799	833	223	171	1179	12170
ENSG00000020633	366	688	1951	1	0	298	4605
ENSG00000020922	529	709	952	1450	1009	1369	3538
ENSG00000021300	930	326	1534	518	157	38	4933
ENSG00000021355	1580	973	3162	13429	5798	2758	3226
ENSG00000021461	0	0	5	0	0	0	2630
ENSG00000021488	2	0	19	5	0	0	2597
ENSG00000021574	926	1431	1315	1649	1248	1185	5213
ENSG00000021645	82	254	0	1	0	1	11335
ENSG00000021762	697	960	2838	327	32	113	7466
ENSG00000021776	1159	2200	2031	2969	2667	4671	9779
ENSG00000021826	846	1342	2034	182	33	25	10444
ENSG00000021852	0	0	0	0	0	0	2729
ENSG00000022267	14850	9875	939	0	0	1945	4945
ENSG00000022277	1678	2393	1878	3000	3103	4127	3501
ENSG00000022355	0	0	0	0	0	0	5494
ENSG00000022556	0	0	3157	57	0	0	6313
ENSG00000022567	610	580	1577	956	1309	1457	8608
ENSG00000022840	6822	8061	4535	6809	4274	5721	5911
ENSG00000022976	752	807	1236	705	827	988	5595
ENSG00000023041	1303	1693	3274	2792	2823	1507	2404
ENSG00000023171	375	421	685	855	186	32	9770
ENSG00000023191	4196	5263	4501	5818	8777	4097	7367
ENSG00000023228	4119	4613	4083	5644	3810	6105	12268
ENSG00000023287	2101	2453	2657	2400	1069	8455	7615
ENSG00000023318	2364	2855	909	4946	4142	2237	4854
ENSG00000023330	3477	2377	2745	3418	3094	2966	2536
ENSG00000023445	110	16	228	596	132	1500	7484
ENSG00000023516	2560	2538	3185	2691	1762	3766	9913
ENSG00000023572	531	529	301	527	782	347	1299
ENSG00000023608	637	379	293	354	396	727	2656
ENSG00000023697	1172	944	934	1239	856	1656	2848
ENSG00000023734	7039	9411	6172	10618	11121	10737	2211
ENSG00000023839	98	68	17456	26	15	661	6232
ENSG00000023892	576	314	2072	250	241	757	2675
ENSG00000023902	1758	1485	390	49	28	160	6629
ENSG00000023909	1518	2220	1427	3225	3958	2228	5374
ENSG00000024048	1384	2067	2212	2713	1939	3754	8997
ENSG00000024422	1318	600	3623	5632	5158	4158	3923
ENSG00000024526	3769	6578	3447	2056	1532	4289	5904
ENSG00000024862	512	431	314	512	310	587	1496
ENSG00000025039	2282	1656	1125	0	0	0	5072
ENSG00000025156	2094	2022	1162	1057	731	847	2702
ENSG00000025293	1566	2901	2300	1748	776	2634	7812
ENSG00000025423	618	338	116	30	44	16	2272
ENSG00000025434	509	359	588	369	234	291	4346
ENSG00000025708	67	89	936	592	172	54	3320
ENSG00000025770	4393	4688	2964	1713	2713	3185	3159
ENSG00000025772	4344	3355	2182	4466	6654	8522	2062
ENSG00000025796	2219	2087	2295	3725	2356	4089	8587
ENSG00000025800	4817	4860	5364	6199	5406	6131	7687
ENSG00000026025	11821	11694	17	67	29	1268	4965
ENSG00000026036	93	129	480	99	116	191	8738
ENSG00000026103	279	112	383	1192	634	793	3562
ENSG00000026297	657	571	692	769	814	161	7478
ENSG00000026508	40	5	22637	3153	1833	36647	10060
ENSG00000026559	1568	1404	1296	0	0	1118	6320
ENSG00000026652	1457	1519	1066	113	26	402	9419
ENSG00000026751	20	6	12	477	37	0	4604
ENSG00000026950	302	251	490	574	210	329	5547
ENSG00000027001	861	1240	1250	1519	1229	1050	3407
ENSG00000027075	701	466	962	1	19	1049	8809
ENSG00000027644	7	1	30	0	5	1	5101
ENSG00000027697	1937	1627	1191	5904	3090	1960	2680
ENSG00000027847	1185	1042	936	918	1541	685	4927
ENSG00000027869	568	349	66	246	198	5	2512
ENSG00000028116	527	547	703	715	675	653	3557
ENSG00000028137	85	33	26	2375	1234	0	3766
ENSG00000028203	1849	1732	1566	4762	3418	4167	8757
ENSG00000028277	32	17	122	25	1	99	8899
ENSG00000028310	463	1173	3219	1953	1796	3948	9577
ENSG00000028528	2302	2555	4603	5383	2862	4818	9796
ENSG00000028839	1014	1162	578	988	935	757	5039
ENSG00000029153	793	850	1309	1537	1290	5544	5002
ENSG00000029363	7407	16035	9062	10841	9950	9440	9297
ENSG00000029364	2313	2895	5502	5806	4915	5290	7136
ENSG00000029534	888	1883	321	2812	534	1260	10799
ENSG00000029559	0	0	1	0	0	3	1033
ENSG00000029639	644	587	798	883	838	493	2736
ENSG00000029725	4493	5062	2660	3351	2981	4635	6555
ENSG00000029993	4835	8548	4702	5157	3891	3093	3967
ENSG00000030066	3852	6426	4170	4474	4014	6497	8471
ENSG00000030110	1644	2416	951	2086	1965	1152	2267
ENSG00000030304	0	2	3	0	0	11	4159
ENSG00000030419	41	57	116	132	42	659	12220
ENSG00000030582	6642	4637	9981	13520	7644	6502	3520
ENSG00000031003	754	1534	826	1468	693	1726	6808
ENSG00000031081	94	207	234	54	22	241	9384
ENSG00000031544	4	6	6	1	0	2	3595
ENSG00000031691	997	718	393	615	469	1429	1733
ENSG00000031698	7094	7625	4101	5650	4774	5065	3836
ENSG00000031823	3424	3898	2945	2998	3349	2113	7445
ENSG00000032219	502	547	673	1302	461	1367	7568
ENSG00000032389	1296	1077	1699	1836	1559	1568	5775
ENSG00000032444	3262	3365	7354	2743	2519	2169	7055
ENSG00000032742	392	341	639	850	564	406	5480
ENSG00000033011	766	1400	811	1651	2179	1163	5786
ENSG00000033030	982	1124	1059	1924	1477	2058	7752
ENSG00000033050	3671	7065	4347	4747	7091	4098	4448
ENSG00000033100	953	1732	1395	3184	5621	1260	4200
ENSG00000033122	38	51	44	21	12	54	14652
ENSG00000033170	586	1079	1367	4570	3351	3278	6889
ENSG00000033178	3065	3698	3402	5237	3162	3918	11432
ENSG00000033327	559	217	302	755	694	54	6771
ENSG00000033627	2859	3538	3943	1845	1369	2055	10968
ENSG00000033800	1109	1378	1118	1898	1006	2166	4524
ENSG00000033867	1166	1396	2194	2119	1484	6200	9564
ENSG00000034053	744	1236	20	0	0	0	6869
ENSG00000034063	8027	9609	6143	4395	6219	6234	5144
